EventType,Time,AccountId,X,Y,IsGame
LogPlayerPosition,1538167024456,account.72bb9b59202c40cbb37ef820f434a330,489696.16,634152.56,0.0
LogPlayerPosition,1538167024456,account.a0692029650b42e18edf5c7d1ef21ccb,491233.94,633544.44,0.0
LogPlayerPosition,1538167024456,account.823788e851224330b59b44a27da95662,491288.12,633168.1,0.0
LogPlayerPosition,1538167024456,account.6592d11f6ea541f4ae7d50fddb1ebfba,83663.734,733156.7,0.0
LogPlayerPosition,1538167024456,account.b98ff2e52c124950921b776688ed4de0,490766.97,634480.75,0.0
LogPlayerPosition,1538167024456,account.7980f71efa0a4d2391f941720ace4326,84218.24,732188.5,0.0
LogPlayerPosition,1538167024456,account.b52b3740bcc44aa8abd6208c1d4adfc6,82887.5,730947.25,0.0
LogPlayerPosition,1538167024456,account.19c4e68e8ba648d5808425807ebb569b,85046.27,732240.8,0.0
LogPlayerPosition,1538167024456,account.c063f69c171b4de2b8d4bd405d7c7d4b,490769.25,634400.7,0.0
LogPlayerPosition,1538167024456,account.0c01655d1e2c4b908a1c4d3f55aad29c,491127.78,633383.75,0.0
LogPlayerPosition,1538167024457,account.62624a34db2f4d7993c2da613193697a,82289.47,729780.94,0.0
LogPlayerPosition,1538167024457,account.7d6e1c91a0234114ac1a55071430fc0d,790211.56,341606.47,0.0
LogPlayerLogin,1538167024504,account.c1cff7b89e0b4eb2a7f3fc855f81ef56,0.0,0.0,0.0
LogPlayerCreate,1538167024524,account.c1cff7b89e0b4eb2a7f3fc855f81ef56,790119.4,341028.03,0.0
LogPlayerLogin,1538167024527,account.e555508426c747b08ea1fa291d4efbfc,0.0,0.0,0.0
LogPlayerCreate,1538167024547,account.e555508426c747b08ea1fa291d4efbfc,791360.44,340775.28,0.0
LogPlayerLogin,1538167024643,account.fb117c5911cd499ab39ba42843e05f71,0.0,0.0,0.0
LogPlayerCreate,1538167024669,account.fb117c5911cd499ab39ba42843e05f71,490823.53,632798.6,0.0
LogPlayerLogin,1538167024675,account.2be5a15797ea4903b28e65cc6b2b9ee3,0.0,0.0,0.0
LogPlayerCreate,1538167024698,account.2be5a15797ea4903b28e65cc6b2b9ee3,790681.06,342042.47,0.0
LogPlayerLogin,1538167024709,account.f3b1dcecd0cb490593787887acfefe2e,0.0,0.0,0.0
LogPlayerCreate,1538167024727,account.f3b1dcecd0cb490593787887acfefe2e,791411.0,341248.3,0.0
LogPlayerPosition,1538167024829,account.fe61ad39b91041898aaa462eb09c735f,791149.3,341670.25,0.0
LogPlayerPosition,1538167024877,account.b8b47abb0d894a139a573727858ac85a,82437.18,731955.7,0.0
LogPlayerPosition,1538167024983,account.48b535bcf85a485b9e1cb139a88d579a,83469.07,732597.8,0.0
LogPlayerPosition,1538167025029,account.3634898d2749466cb707c745863ad143,82155.805,732965.1,0.0
LogPlayerPosition,1538167025198,account.a4a576f4eeaa47d2868da7cf87b3d36f,84342.516,731721.75,0.0
LogPlayerLogin,1538167025305,account.361d7bfb921a452382cd7306e4ad2a92,0.0,0.0,0.0
LogPlayerCreate,1538167025326,account.361d7bfb921a452382cd7306e4ad2a92,490634.25,633560.0,0.0
LogPlayerLogin,1538167025402,account.d856c5cbc584451ba9327784cc9c130d,0.0,0.0,0.0
LogPlayerCreate,1538167025419,account.d856c5cbc584451ba9327784cc9c130d,490794.4,633858.8,0.0
LogPlayerLogin,1538167025421,account.4905e1e9000146ef8902db5cafa3c080,0.0,0.0,0.0
LogPlayerCreate,1538167025439,account.4905e1e9000146ef8902db5cafa3c080,491309.2,633874.2,0.0
LogPlayerLogin,1538167025449,account.84abc4e580cc403c884380365c9fec6c,0.0,0.0,0.0
LogPlayerCreate,1538167025471,account.84abc4e580cc403c884380365c9fec6c,82577.2,729597.7,0.0
LogPlayerPosition,1538167025565,account.58d9b0de1b44427187ce530854f578ec,82432.42,732844.4,0.0
LogPlayerLogin,1538167025638,account.10d8bb4957cd4629a4679c32e3dc0d0f,0.0,0.0,0.0
LogPlayerCreate,1538167025662,account.10d8bb4957cd4629a4679c32e3dc0d0f,491211.53,632950.2,0.0
LogPlayerPosition,1538167025760,account.5df53cd7d6e44612aaccbb0e1cd8c33c,84630.61,731311.5,0.0
LogPlayerLogin,1538167025820,account.0e7a2274d47a43078b1a24f31523f316,0.0,0.0,0.0
LogPlayerCreate,1538167025842,account.0e7a2274d47a43078b1a24f31523f316,82639.58,732346.8,0.0
LogPlayerLogin,1538167025854,account.558755b7166249e1b881c130203236f8,0.0,0.0,0.0
LogPlayerCreate,1538167025873,account.558755b7166249e1b881c130203236f8,84170.39,731250.56,0.0
LogPlayerLogin,1538167026062,account.94cf6f4a48b84ee695acbb6dafcfa4a9,0.0,0.0,0.0
LogPlayerCreate,1538167026081,account.94cf6f4a48b84ee695acbb6dafcfa4a9,790260.2,341521.25,0.0
LogPlayerLogin,1538167026186,account.ed451ed558c34e699e3162d62c84386d,0.0,0.0,0.0
LogPlayerCreate,1538167026207,account.ed451ed558c34e699e3162d62c84386d,81957.19,731992.8,0.0
LogPlayerLogin,1538167026700,account.e0650182c2a2460a8acebd0c214eeb50,0.0,0.0,0.0
LogPlayerCreate,1538167026717,account.e0650182c2a2460a8acebd0c214eeb50,81917.63,730102.4,0.0
LogPlayerPosition,1538167026847,account.d22b2c9e45a94393ba2561143d480eb2,790936.06,341111.94,0.0
LogPlayerPosition,1538167026847,account.6e355a6142e14498b7a42386ea18a04c,789814.0,341710.78,0.0
LogPlayerPosition,1538167026847,account.5a2c714ab3ef4c868835e892caa42bf0,490613.5,633913.25,0.0
LogPlayerPosition,1538167027273,account.372e2dafa5bc45f5872e111a268ec786,789797.1,341632.47,0.0
LogPlayerPosition,1538167027274,account.217f18b21a114fb8a1d84e0c60d11e0e,790935.9,341824.75,0.0
LogPlayerPosition,1538167027442,account.abd1d3543d104fb88dbb7ed2ef8f106e,489850.3,633011.56,0.0
LogPlayerLogin,1538167027603,account.b14e55d66ec546c381dad9d9074e0a5b,0.0,0.0,0.0
LogPlayerCreate,1538167027628,account.b14e55d66ec546c381dad9d9074e0a5b,83503.26,733333.06,0.0
LogPlayerPosition,1538167027749,account.041ba9c1e950465c843ba223b0e9cc4a,490524.75,633045.9,0.0
LogPlayerLogin,1538167027810,account.da528656f2d84540b509593d2259a839,0.0,0.0,0.0
LogPlayerCreate,1538167027828,account.da528656f2d84540b509593d2259a839,82772.16,731737.2,0.0
LogPlayerPosition,1538167027939,account.99d94baa7b444248874e4861902f7efc,82742.0,732197.1,0.0
LogPlayerLogin,1538167028312,account.649ae3a062504ef28746ee66743b5cae,0.0,0.0,0.0
LogPlayerCreate,1538167028332,account.649ae3a062504ef28746ee66743b5cae,84923.83,730162.44,0.0
LogPlayerPosition,1538167028347,account.8ceb06cccee44176a77ec4482b7310bd,790492.8,342047.4,0.0
LogPlayerPosition,1538167028520,account.33901cb81e6e4fe480f5f9fb37ce6c5f,791266.8,340632.9,0.0
LogPlayerPosition,1538167028747,account.6f136513d7b34d0296516284108ecbbb,490160.97,632603.6,0.0
LogPlayerPosition,1538167029164,account.61431ed859fe4a44961b86035ad24726,490581.44,633811.9,0.0
LogPlayerPosition,1538167029480,account.8b6c61d8f84242d2924c20fcf1911ded,489566.6,633736.5,0.0
LogPlayerPosition,1538167029621,account.91120ae47a154d43b28c6cc4151ae85f,789810.2,340885.06,0.0
LogPlayerPosition,1538167030099,account.69ec60d70f8d4d108ee0830ee5bee1f8,84223.25,730744.7,0.0
LogPlayerPosition,1538167030173,account.7fb1ae9f05e347f2925a4866bfddf2d3,84327.98,730946.25,0.0
LogPlayerLogin,1538167030366,account.e9b0ce95cff14f439ee2295f9a0b82dc,0.0,0.0,0.0
LogPlayerCreate,1538167030382,account.e9b0ce95cff14f439ee2295f9a0b82dc,83634.85,729676.44,0.0
LogPlayerPosition,1538167030845,account.8ca6f89e92b14cc78155a1cf8ba20c87,84443.586,731626.56,0.0
LogPlayerPosition,1538167031487,account.4e2213f17fb14327b2d6fe9a09dc89b9,83358.48,732378.44,0.0
LogPlayerPosition,1538167031487,account.5ae4037c4f4a43c09065454ced2eb3d1,83638.39,730563.7,0.0
LogPlayerLogout,1538167031544,account.c53654f414d6432ba2680e118eae6ccd,0.0,0.0,0.0
LogPlayerLogin,1538167031557,account.f2e91d771486447fb8ab505d88016868,0.0,0.0,0.0
LogPlayerCreate,1538167031579,account.f2e91d771486447fb8ab505d88016868,491033.9,632732.56,0.0
LogPlayerLogin,1538167031679,account.9c4e8e0358c84cda80e3ac3126666702,0.0,0.0,0.0
LogPlayerCreate,1538167031700,account.9c4e8e0358c84cda80e3ac3126666702,490247.5,633456.2,0.0
LogPlayerLogout,1538167031908,account.0840cd632c2344dd8797b47448c54810,0.0,0.0,0.0
