Time,IsGame,X,Y,R,nAlive
1538167918297,2.0,321493.3,497096.56,231887.48,51
1538167928274,2.0,321493.3,497096.56,231887.48,51
1538167938287,2.0,321493.3,497096.56,231887.48,51
1538167948293,2.0,321493.3,497096.56,231887.48,51
1538167958313,2.0,321493.3,497096.56,231887.48,50
1538167968310,2.0,321493.3,497096.56,231887.48,48
1538167978295,2.0,321493.3,497096.56,231887.48,47
1538167988310,2.0,321493.3,497096.56,231887.48,46
1538167998309,2.0,321493.3,497096.56,231887.48,46
1538168008272,2.0,321493.3,497096.56,231887.48,42
1538168018280,2.0,321493.3,497096.56,231887.48,42
1538168028263,2.5,319222.4,497758.2,226263.98,42
1538168038278,2.5,316878.6,498441.1,220459.9,41
1538168048284,2.5,314536.12,499123.6,214659.12,41
1538168058294,2.5,312194.72,499805.75,208861.08,41
1538168068302,2.5,309850.78,500488.7,203056.72,41
1538168078314,2.5,307508.34,501171.16,197256.05,41
1538168088283,2.5,305173.25,501851.5,191473.56,41
1538168098292,2.5,302831.62,502533.75,185674.92,41
1538168108305,2.5,300487.34,503216.78,179869.64,41
1538168118292,2.5,298147.75,503898.44,174076.03,41
1538168128318,2.5,295803.16,504581.53,168270.06,39
1538168138282,2.5,293470.9,505261.03,162494.66,39
1538168148274,2.5,291128.78,505943.44,156694.72,39
1538168158292,2.5,288787.47,506625.6,150896.88,39
1538168168295,3.0,288718.8,506645.6,150726.86,37
1538168178280,3.0,288718.8,506645.6,150726.86,36
1538168188296,3.0,288718.8,506645.6,150726.86,33
1538168198287,3.0,288718.8,506645.6,150726.86,33
1538168208270,3.0,288718.8,506645.6,150726.86,33
1538168218291,3.0,288718.8,506645.6,150726.86,30
1538168228279,3.0,288718.8,506645.6,150726.86,30
1538168238295,3.0,288718.8,506645.6,150726.86,30
1538168248280,3.0,288718.8,506645.6,150726.86,29
1538168258272,3.0,288718.8,506645.6,150726.86,29
1538168268291,3.0,288718.8,506645.6,150726.86,29
1538168278276,3.0,288718.8,506645.6,150726.86,29
1538168288287,3.0,288718.8,506645.6,150726.86,29
1538168298264,3.0,288718.8,506645.6,150726.86,29
1538168308277,3.0,288718.8,506645.6,150726.86,29
1538168318292,3.5,286581.66,503117.4,142765.31,29
1538168328270,3.5,284337.84,499413.12,134406.38,29
1538168338261,3.5,282091.6,495704.88,126038.44,29
1538168348276,3.5,279841.16,491989.7,117654.88,29
1538168358282,3.5,277592.94,488278.16,109279.6,29
1538168368276,3.5,275345.16,484567.3,100905.88,29
1538168378301,3.5,273092.1,480847.8,92512.58,29
1538168388286,3.5,270848.53,477143.9,84154.516,29
1538168398275,3.5,268602.5,473436.03,75787.445,29
1538168408276,4.0,268488.7,473248.12,75363.43,29
1538168418289,4.0,268488.7,473248.12,75363.43,29
1538168428274,4.0,268488.7,473248.12,75363.43,29
1538168438291,4.0,268488.7,473248.12,75363.43,29
1538168448284,4.0,268488.7,473248.12,75363.43,29
1538168458278,4.0,268488.7,473248.12,75363.43,29
1538168468287,4.0,268488.7,473248.12,75363.43,29
1538168478305,4.0,268488.7,473248.12,75363.43,28
1538168488292,4.0,268488.7,473248.12,75363.43,26
1538168498291,4.0,268488.7,473248.12,75363.43,26
1538168508262,4.0,268488.7,473248.12,75363.43,26
1538168518281,4.0,268488.7,473248.12,75363.43,26
1538168528269,4.5,270253.1,470961.94,69504.2,26
1538168538294,4.5,272147.16,468507.7,63214.324,26
1538168548269,4.5,274034.06,466062.75,56948.305,25
1538168558285,4.5,275928.94,463607.47,50655.76,24
1538168568294,4.5,277820.75,461156.2,44373.406,24
1538168578270,4.5,279709.0,458709.53,38102.97,24
1538168588278,5.0,279835.84,458545.16,37681.715,21
1538168598292,5.0,279835.84,458545.16,37681.715,20
1538168608300,5.0,279835.84,458545.16,37681.715,19
1538168618302,5.0,279835.84,458545.16,37681.715,17
1538168628268,5.0,279835.84,458545.16,37681.715,17
1538168638275,5.0,279835.84,458545.16,37681.715,17
1538168648277,5.0,279835.84,458545.16,37681.715,17
1538168658283,5.0,279835.84,458545.16,37681.715,15
1538168668293,5.0,279835.84,458545.16,37681.715,15
1538168678277,5.0,279835.84,458545.16,37681.715,15
1538168688294,5.0,279835.84,458545.16,37681.715,15
1538168698270,5.0,279835.84,458545.16,37681.715,15
1538168708283,5.5,282159.12,460826.16,33341.22,15
1538168718262,5.5,284675.53,463296.78,28639.922,15
1538168728274,5.5,287199.88,465775.22,23923.756,15
1538168738278,5.5,289720.53,468250.03,19214.492,13
1538168748292,6.0,289920.53,468446.38,18840.857,13
1538168758275,6.0,289920.53,468446.38,18840.857,11
1538168768266,6.0,289920.53,468446.38,18840.857,10
1538168778295,6.0,289920.53,468446.38,18840.857,10
1538168788272,6.0,289920.53,468446.38,18840.857,7
1538168798263,6.0,289920.53,468446.38,18840.857,7
1538168808273,6.0,289920.53,468446.38,18840.857,7
1538168818285,6.0,289920.53,468446.38,18840.857,7
1538168828294,6.0,289920.53,468446.38,18840.857,7
1538168838271,6.5,290271.25,468037.06,15981.014,7
1538168848278,6.5,290656.7,467587.25,12838.129,7
1538168858293,6.5,291042.34,467137.25,9693.703,7
1538168868267,7.0,291075.84,467098.12,9420.429,7
1538168878270,7.0,291075.84,467098.12,9420.429,7
1538168888273,7.0,291075.84,467098.12,9420.429,7
1538168898286,7.0,291075.84,467098.12,9420.429,5
1538168908265,7.0,291075.84,467098.12,9420.429,5
1538168918281,7.0,291075.84,467098.12,9420.429,5
1538168928284,7.0,291075.84,467098.12,9420.429,5
1538168938277,7.0,291075.84,467098.12,9420.429,5
1538168948287,7.0,291075.84,467098.12,9420.429,5
1538168958274,7.5,291426.78,465741.06,8010.273,5
1538168968287,7.5,291817.97,464228.47,6438.531,5
